grouping,group_name,comparison,metric,count,mean,std,seed
complexity,low_30pct,25d_boundary_vs_nonboundary,hd95,30,-0.08472507397333781,1.712372487420228,2
complexity,low_30pct,25d_vs_2d_bce_dice,dice,30,0.013990730554526432,0.02259196607223309,2
complexity,low_30pct,25d_vs_2d_bce_dice,fnr,30,-0.0005729964600656865,0.014875172902055917,2
complexity,low_30pct,25d_vs_2d_bce_dice,fpr,30,-0.0553596882887249,0.06026589135980932,2
complexity,low_30pct,25d_vs_2d_bce_dice,hd95,30,-0.7824445366859436,1.3761979298546276,2
complexity,low_30pct,2d_boundary_vs_nonboundary,dice,30,0.008266079765490982,0.022527597921326567,2
complexity,low_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.017714227305958303,0.01802735920484087,2
complexity,low_30pct,2d_boundary_vs_nonboundary,fpr,30,0.259085393375239,0.14075617514107852,2
complexity,low_30pct,2d_boundary_vs_nonboundary,hd95,30,-0.6042116324106852,2.6426883498581875,2
complexity,mid_40pct,25d_boundary_vs_2d_boundary,dice,40,0.01616902781893206,0.023246826697883544,2
complexity,mid_40pct,25d_boundary_vs_2d_boundary,fnr,40,0.0035348151639662114,0.024031161607866728,2
complexity,mid_40pct,25d_boundary_vs_2d_boundary,fpr,40,-0.09080719587118212,0.1133132574213881,2
complexity,mid_40pct,25d_boundary_vs_2d_boundary,hd95,40,-0.19353943467140197,1.2928844432117028,2
complexity,mid_40pct,25d_boundary_vs_nonboundary,dice,40,-0.002115203929273571,0.03405498893519677,2
complexity,mid_40pct,25d_boundary_vs_nonboundary,fnr,40,-0.049361363133248695,0.04579808958602433,2
complexity,mid_40pct,25d_boundary_vs_nonboundary,fpr,40,0.2681095554993492,0.11961115885866067,2
complexity,mid_40pct,25d_boundary_vs_nonboundary,hd95,40,0.39577006101608275,2.385313270824909,2
complexity,mid_40pct,25d_vs_2d_bce_dice,dice,40,0.013835371669946658,0.03408185745795378,2
complexity,mid_40pct,25d_vs_2d_bce_dice,fnr,40,0.015812789394377386,0.04033963519303317,2
complexity,mid_40pct,25d_vs_2d_bce_dice,fpr,40,-0.05986353983678568,0.08601053930915212,2
complexity,mid_40pct,25d_vs_2d_bce_dice,hd95,40,-5.116865235567093,16.04032931670313,2
complexity,mid_40pct,2d_boundary_vs_nonboundary,dice,40,-0.004448860078258973,0.03683244339372294,2
complexity,mid_40pct,2d_boundary_vs_nonboundary,fnr,40,-0.037083388902837515,0.033963364251246346,2
complexity,mid_40pct,2d_boundary_vs_nonboundary,fpr,40,0.2990532115337456,0.12468887777763933,2
complexity,mid_40pct,2d_boundary_vs_nonboundary,hd95,40,-4.527555739879608,16.34305253173256,2
