model,seed,artifact_prefix,status,best_threshold,best_val_dice,test_dice,test_hd95_median,test_fnr,test_fpr,error
25d_bce_dice,2,25d_bce_dice_seed2,ok,0.5,0.7853115580211847,0.7720455053464446,4.0,0.042328042328042326,0.10579345088161209,
25d_bce_dice,3,25d_bce_dice_seed3,ok,0.5,0.7978145830641837,0.7181891363616274,5.830951690673828,0.15830721003134796,0.05482456140350877,
25d_bce_dice,4,25d_bce_dice_seed4,ok,0.5,0.7668229253679321,0.7543224280260256,5.0,0.12361331220285261,0.058759521218716,
25d_bce_dice_posweighted,0,25d_bce_dice_posweighted_seed0,ok,0.7,0.7325849900323825,0.7920430527332633,5.239070892333984,0.008021390374331552,0.27556109725685785,
25d_bce_dice_posweighted,1,25d_bce_dice_posweighted_seed1,ok,0.7,0.8125082119755501,0.7084944679279996,8.9442720413208,0.05625879043600562,0.19427890345649582,
25d_bce_dice_posweighted,2,25d_bce_dice_posweighted_seed2,ok,0.65,0.7831515447313544,0.7645402801710934,5.266178131103516,0.023809523809523808,0.16624685138539042,
25d_bce_dice_posweighted,3,25d_bce_dice_posweighted_seed3,ok,0.5,0.8357036658321623,0.7981310621791499,5.8648529052734375,0.048589341692789965,0.22916666666666666,
25d_bce_dice_posweighted,4,25d_bce_dice_posweighted_seed4,ok,0.7,0.7667659911474749,0.771081509047945,6.132308006286621,0.0491283676703645,0.17736670293797607,
25d_bce_dice_boundary_0.05,0,25d_bce_dice_boundary_0.05_seed0,ok,0.5,0.7473589798676357,0.822131067178247,4.242640495300293,0.020053475935828877,0.18079800498753118,
25d_bce_dice_boundary_0.05,1,25d_bce_dice_boundary_0.05_seed1,ok,0.5,0.8019417893495003,0.7239321698179225,7.071067810058594,0.0379746835443038,0.2598331346841478,
25d_bce_dice_boundary_0.05,2,25d_bce_dice_boundary_0.05_seed2,ok,0.5,0.7967020955621305,0.7767467587181027,4.0,0.023809523809523808,0.18765743073047858,
25d_bce_dice_boundary_0.05,3,25d_bce_dice_boundary_0.05_seed3,ok,0.5,0.8535605518026113,0.8333849732918799,4.4721360206604,0.02821316614420063,0.3684210526315789,
25d_bce_dice_boundary_0.05,4,25d_bce_dice_boundary_0.05_seed4,ok,0.5,0.7926162572451008,0.7784347484174602,5.0,0.04120443740095087,0.24918389553862894,
25d_bce_dice_boundary_0.1,0,25d_bce_dice_boundary_0.1_seed0,ok,0.5,0.7542349133933901,0.8418285040892063,3.235494613647461,0.026737967914438502,0.16957605985037408,
25d_bce_dice_boundary_0.1,1,25d_bce_dice_boundary_0.1_seed1,ok,0.5,0.8045590874705001,0.7319443655395474,7.004389762878418,0.026722925457102673,0.3468414779499404,
25d_bce_dice_boundary_0.1,2,25d_bce_dice_boundary_0.1_seed2,ok,0.5,0.8113961476179906,0.771331354926424,5.059412002563477,0.018518518518518517,0.3425692695214106,
25d_bce_dice_boundary_0.1,3,25d_bce_dice_boundary_0.1_seed3,ok,0.5,0.8370854087372327,0.8062367515118799,5.017328262329102,0.01567398119122257,0.3793859649122807,
25d_bce_dice_boundary_0.1,4,25d_bce_dice_boundary_0.1_seed4,ok,0.7,0.7788491366449201,0.7766847873546431,5.830951690673828,0.04595879556259905,0.2687704026115343,
25d_bce_dice_boundary_0.2,0,25d_bce_dice_boundary_0.2_seed0,ok,0.5,0.746969444410845,0.8370792042603468,4.00606632232666,0.008021390374331552,0.21321695760598502,
25d_bce_dice_boundary_0.2,1,25d_bce_dice_boundary_0.2_seed1,ok,0.5,0.8371934638406239,0.7292057782170558,6.7082037925720215,0.040787623066104076,0.26460071513706795,
25d_bce_dice_boundary_0.2,2,25d_bce_dice_boundary_0.2_seed2,ok,0.5,0.8083148162700554,0.767297508645921,4.0,0.03835978835978836,0.22544080604534006,
25d_bce_dice_boundary_0.2,3,25d_bce_dice_boundary_0.2_seed3,ok,0.5,0.830310563352951,0.8234356696422571,4.015388488769531,0.050156739811912224,0.2631578947368421,
25d_bce_dice_boundary_0.2,4,25d_bce_dice_boundary_0.2_seed4,ok,0.5,0.7999206490477119,0.7748268118951759,6.375625133514404,0.02694136291600634,0.2883569096844396,
25d_bce_dice_posweighted_boundary_0.05,0,25d_bce_dice_posweighted_boundary_0.05_seed0,ok,0.7,0.769352995816834,0.8095598935254197,6.87179708480835,0.0053475935828877,0.3653366583541147,
25d_bce_dice_posweighted_boundary_0.05,1,25d_bce_dice_posweighted_boundary_0.05_seed1,ok,0.6,0.7823479394408038,0.7054949004239758,9.292099952697754,0.03375527426160337,0.27056019070321813,
25d_bce_dice_posweighted_boundary_0.05,2,25d_bce_dice_posweighted_boundary_0.05_seed2,ok,0.7,0.7921043403892436,0.7755696769389842,5.0,0.022486772486772486,0.1561712846347607,
25d_bce_dice_posweighted_boundary_0.05,3,25d_bce_dice_posweighted_boundary_0.05_seed3,ok,0.55,0.8387902047948019,0.7840860477038498,5.292167663574219,0.06896551724137931,0.24780701754385964,
25d_bce_dice_posweighted_boundary_0.05,4,25d_bce_dice_posweighted_boundary_0.05_seed4,ok,0.7,0.7812549522369617,0.7771105732939984,5.656854152679443,0.04754358161648178,0.18498367791077258,
